ID;Age;Overall;Value;Wage;Height;Weight;FKAccuracy;SprintSpeed;Stamina;Strength
152729;31;87;€34M;€240K;6'4;187lbs;43;60;65;83
222492;22;86;€61M;€195K;6'0;165lbs;68;96;79;70
218667;23;86;€59.5M;€180K;5'8;141lbs;67;74;78;48
210257;24;86;€41.5M;€125K;6'2;190lbs;20;63;41;68
208722;26;86;€52M;€195K;5'9;152lbs;64;93;84;67
203376;26;86;€44.5M;€165K;6'4;203lbs;70;77;71;92
202652;23;86;€56.5M;€195K;5'7;152lbs;63;92;78;52
201942;26;86;€53M;€195K;5'11;168lbs;65;77;90;74
201535;25;86;€50M;€210K;6'3;179lbs;54;85;73;84
199556;25;86;€55M;€135K;5'5;132lbs;64;62;77;52
191043;27;86;€36.5M;€160K;5'11;176lbs;59;86;92;79
190483;27;86;€46.5M;€175K;5'8;154lbs;78;93;78;63
189596;28;86;€45M;€135K;6'1;165lbs;59;75;87;68
189509;27;86;€45.5M;€130K;5'9;154lbs;77;69;75;59
188350;29;86;€43.5M;€100K;5'11;157lbs;84;85;73;67
184432;28;86;€35M;€175K;5'10;168lbs;58;76;87;71
184344;31;86;€30M;€160K;6'3;187lbs;61;65;71;83
184087;29;86;€39M;€150K;6'1;179lbs;69;66;74;79
180206;28;86;€44M;€180K;5'10;159lbs;92;66;78;66
177509;31;86;€30M;€160K;6'2;207lbs;27;75;69;91
176635;29;86;€43.5M;€190K;5'11;168lbs;77;69;69;57
135507;33;86;€18M;€185K;5'10;148lbs;72;67;79;76
41;34;86;€21.5M;€21K;5'7;150lbs;70;67;55;58
232363;23;85;€46.5M;€82K;6'2;176lbs;30;73;77;83
223848;23;85;€50.5M;€73K;6'3;168lbs;75;70;85;88
220834;22;85;€54M;€215K;6'0;168lbs;76;82;76;61
216594;24;85;€50M;€92K;5'8;165lbs;79;79;80;82
212831;25;85;€36.5M;€115K;6'3;201lbs;18;45;32;78
212622;23;85;€40.5M;€92K;5'9;154lbs;61;68;85;65
208421;23;85;€50.5M;€77K;6'0;170lbs;60;73;86;77
204485;27;85;€40.5M;€205K;5'10;148lbs;78;83;76;54
197445;26;85;€38M;€110K;5'11;168lbs;84;86;87;71
193747;26;85;€45M;€88K;5'9;163lbs;76;68;90;79
193301;27;85;€45M;€180K;5'9;161lbs;71;84;79;73
192774;27;85;€37.5M;€96K;6'2;183lbs;10;85;76;82
192366;30;85;€28.5M;€170K;6'0;179lbs;39;61;67;80
189513;29;85;€37M;€66K;6'0;163lbs;90;43;78;72
187961;29;85;€37M;€235K;6'0;157lbs;72;73;92;81
186153;28;85;€32M;€125K;6'5;198lbs;14;47;45;65
184941;29;85;€37.5M;€215K;5'7;163lbs;78;79;83;72
184267;28;85;€39M;€28K;5'9;146lbs;78;75;85;49
183907;29;85;€30M;€115K;6'4;198lbs;31;72;69;91
181872;31;85;€26M;€205K;5'11;165lbs;68;55;83;79
181458;29;85;€37.5M;€110K;6'1;176lbs;75;88;89;78
180930;32;85;€30.5M;€115K;6'4;185lbs;54;66;76;80
179846;31;85;€33M;€160K;6'2;198lbs;68;60;78;87
179844;29;85;€38.5M;€100K;6'2;190lbs;59;76;76;92
178518;30;85;€35.5M;€105K;5'9;170lbs;68;73;93;77
171919;35;85;€9M;€38K;6'6;201lbs;76;65;61;83
170890;31;85;€26M;€145K;5'11;165lbs;52;77;94;76
168609;33;85;€15.5M;€96K;6'1;172lbs;39;69;65;79
165153;30;85;€37M;€240K;6'1;179lbs;73;76;75;80
164169;32;85;€21.5M;€81K;6'0;163lbs;75;75;89;74
139720;32;85;€22M;€170K;6'3;187lbs;52;59;66;87
120533;35;85;€9M;€57K;6'2;179lbs;47;70;60;86
41236;36;85;€14M;€15K;6'5;209lbs;82;59;61;86
220793;22;84;€34M;€105K;6'2;174lbs;27;79;76;83
216460;23;84;€34M;€63K;6'1;176lbs;44;70;67;85
212462;25;84;€32M;€22K;5'11;157lbs;79;85;92;68
212218;24;84;€34M;€135K;6'2;187lbs;69;66;67;82
212198;23;84;€40.5M;€22K;5'10;152lbs;81;76;89;67
212190;22;84;€36.5M;€84K;6'5;214lbs;30;84;65;94
211300;22;84;€42.5M;€165K;6'0;168lbs;54;89;75;75
211117;22;84;€42.5M;€115K;6'2;176lbs;68;76;90;71
209499;24;84;€34M;€120K;6'2;172lbs;53;72;92;79
207865;24;84;€35.5M;€90K;6'0;165lbs;32;76;75;74
207566;26;84;€31.5M;€38K;6'2;183lbs;50;53;84;90
205498;26;84;€38M;€155K;5'11;148lbs;76;69;79;66
204970;25;84;€39M;€72K;5'10;154lbs;72;80;83;66
204963;26;84;€31.5M;€185K;5'8;161lbs;47;84;84;74
202556;24;84;€42M;€93K;5'9;172lbs;88;87;79;80
200104;25;84;€37M;€125K;6'0;143lbs;70;87;85;63
199482;27;84;€25M;€72K;6'0;179lbs;14;64;36;73
198176;26;84;€31.5M;€88K;6'2;172lbs;16;69;66;80
198009;25;84;€29.5M;€105K;6'2;170lbs;13;56;30;52
193082;30;84;€29.5M;€150K;5'10;159lbs;69;93;78;61
192629;30;84;€30M;€45K;5'9;148lbs;76;78;75;60
192563;26;84;€27M;€115K;6'3;183lbs;8;52;43;68
191202;29;84;€24M;€165K;6'4;187lbs;67;59;84;85
190941;28;84;€22M;€74K;6'4;187lbs;15;44;34;55
190584;28;84;€31M;€51K;5'10;165lbs;68;57;77;68
188377;28;84;€24.5M;€165K;6'0;154lbs;71;93;89;75
186942;27;84;€32M;€175K;5'11;176lbs;74;68;69;72
185020;31;84;€27.5M;€105K;5'10;161lbs;65;89;91;55
183898;30;84;€29.5M;€125K;5'11;152lbs;82;84;73;60
181783;32;84;€25M;€160K;6'3;187lbs;49;73;83;85
180403;29;84;€30.5M;€175K;5'9;172lbs;83;86;85;60
178750;29;84;€24M;€42K;6'2;192lbs;22;54;41;73
178562;30;84;€29M;€31K;5'9;157lbs;81;64;74;67
177413;29;84;€24M;€77K;6'2;179lbs;68;74;86;82
177388;31;84;€27.5M;€75K;5'9;170lbs;84;72;73;72
176769;34;84;€16.5M;€25K;5'11;163lbs;77;64;66;63
172879;30;84;€23M;€140K;6'1;187lbs;35;73;69;86
167628;31;84;€19M;€41K;6'2;205lbs;12;50;37;76
167397;32;84;€25M;€115K;5'10;159lbs;73;66;68;75
163587;31;84;€19M;€78K;6'2;196lbs;15;60;34;64
157481;32;84;€18M;€88K;6'3;181lbs;45;53;55;82
143076;30;84;€30M;€53K;5'5;150lbs;79;86;75;48
137186;37;84;€4.2M;€95K;6'2;192lbs;31;77;53;83
20775;34;84;€15.5M;€80K;5'9;148lbs;73;82;65;55
9014;34;84;€15.5M;€110K;5'11;176lbs;81;76;64;67
231443;21;83;€40M;€155K;5'10;148lbs;64;92;73;46
230666;21;83;€41M;€130K;5'9;161lbs;54;85;84;68
230481;26;83;€28M;€51K;5'10;165lbs;78;87;86;70
230375;26;83;€22.5M;€43K;6'1;176lbs;49;78;76;73
230294;26;83;€28.5M;€60K;6'2;183lbs;67;83;56;87
225850;22;83;€30.5M;€82K;6'2;176lbs;32;78;80;84
220971;23;83;€34M;€120K;5'8;141lbs;70;60;82;58
219683;23;83;€34M;€85K;5'11;179lbs;73;66;87;77
213565;22;83;€35.5M;€64K;5'7;137lbs;81;84;79;63
213345;22;83;€34M;€85K;5'10;157lbs;70;93;76;61
213331;22;83;€29.5M;€67K;6'5;214lbs;27;77;63;93
212523;24;83;€36.5M;€18K;6'3;176lbs;87;76;76;72
212188;22;83;€34.5M;€70K;5'11;165lbs;56;93;83;59
210008;23;83;€33M;€91K;6'4;176lbs;59;74;82;80
209658;23;83;€34M;€85K;6'2;174lbs;75;79;86;70
208808;26;83;€30.5M;€28K;5'9;159lbs;76;91;83;61
208670;25;83;€32.5M;€28K;5'11;143lbs;78;74;86;59
208618;27;83;€27M;€205K;5'8;154lbs;75;79;90;57
208418;24;83;€33M;€20K;5'11;161lbs;78;87;74;59
208093;26;83;€32M;€53K;5'11;170lbs;56;80;72;74
207863;29;83;€20M;€22K;6'3;190lbs;30;67;78;86
207410;24;83;€35M;€165K;5'9;172lbs;68;74;82;65
206585;23;83;€28.5M;€84K;6'1;187lbs;19;33;37;51
206545;26;83;€30M;€49K;5'10;165lbs;69;65;77;63
206113;22;83;€34.5M;€85K;5'9;165lbs;62;90;68;68
204935;24;83;€25M;€78K;6'1;170lbs;16;44;45;70
204639;27;83;€26M;€67K;6'2;174lbs;28;61;58;77
203574;24;83;€28.5M;€125K;6'2;154lbs;29;71;79;77
202651;24;83;€33M;€115K;5'9;154lbs;80;77;77;56
202166;24;83;€32.5M;€91K;6'2;170lbs;76;77;69;66
201995;25;83;€31.5M;€110K;5'9;154lbs;69;89;72;53
200949;25;83;€31M;€115K;5'9;154lbs;74;90;75;59
200888;26;83;€27M;€21K;6'2;183lbs;53;68;83;89
200724;28;83;€24.5M;€180K;5'11;168lbs;37;79;78;79
200316;25;83;€24M;€25K;6'4;198lbs;15;51;31;67
199914;27;83;€26.5M;€87K;5'9;163lbs;49;74;95;77
199845;30;83;€19M;€64K;6'4;194lbs;56;55;81;83
199564;26;83;€26.5M;€170K;5'10;150lbs;60;79;85;69
198329;27;83;€30.5M;€57K;6'0;170lbs;67;91;78;72
197965;28;83;€25.5M;€22K;5'10;159lbs;76;73;86;59
195365;27;83;€26.5M;€74K;5'10;148lbs;75;71;88;47
194404;28;83;€21M;€41K;6'3;185lbs;13;49;39;63
193698;28;83;€21M;€42K;6'2;181lbs;11;51;39;69
193474;28;83;€21M;€125K;5'9;146lbs;61;72;89;70
192883;29;83;€25.5M;€145K;5'10;165lbs;64;78;83;62
192638;27;83;€24M;€130K;6'2;192lbs;86;76;90;76
192593;33;83;€13M;€70K;6'3;185lbs;57;54;32;80
190547;30;83;€19M;€86K;6'3;176lbs;26;52;67;90
189712;28;83;€21M;€66K;6'1;176lbs;70;66;79;81
189068;29;83;€26M;€26K;6'5;196lbs;30;54;82;92
188152;26;83;€30.5M;€29K;5'10;146lbs;75;72;76;38
186627;27;83;€27.5M;€55K;6'2;194lbs;78;82;66;86
185221;30;83;€19M;€63K;6'2;172lbs;60;64;85;81
184942;28;83;€26M;€64K;5'8;150lbs;71;79;82;74
179944;31;83;€17.5M;€130K;6'2;190lbs;76;62;66;79
179783;29;83;€20M;€38K;6'6;216lbs;11;47;32;79
178088;30;83;€24.5M;€160K;5'7;139lbs;86;62;71;37
178086;31;83;€15.5M;€55K;6'3;203lbs;12;54;32;77
178005;30;83;€16.5M;€74K;6'3;185lbs;16;57;45;77
177683;29;83;€20M;€35K;6'0;174lbs;13;54;45;68
177610;29;83;€20M;€94K;6'4;190lbs;45;53;74;84
177457;29;83;€20M;€82K;6'1;179lbs;47;67;86;76
176266;31;83;€17.5M;€64K;5'10;172lbs;47;67;80;67
163705;33;83;€13M;€51K;6'1;181lbs;12;43;31;61
162895;31;83;€22M;€140K;5'10;170lbs;81;54;56;61
162240;30;83;€24M;€120K;6'1;181lbs;55;72;70;89
156616;35;83;€11.5M;€72K;5'7;159lbs;81;78;58;60
104389;33;83;€13M;€33K;6'3;181lbs;14;46;31;70
53302;34;83;€8M;€80K;6'0;183lbs;71;67;74;81
24630;35;83;€6M;€56K;6'2;203lbs;11;63;34;72
236583;26;82;€19.5M;€30K;6'5;179lbs;14;37;20;68
235243;18;82;€27M;€11K;6'2;196lbs;55;72;74;87
231866;22;82;€29M;€59K;6'3;181lbs;54;66;86;75
230658;21;82;€32.5M;€125K;5'7;161lbs;60;70;78;62
230621;19;82;€29M;€23K;6'5;198lbs;14;54;34;72
230258;30;82;€16.5M;€46K;5'9;154lbs;57;81;93;68
230225;34;82;€6.5M;€39K;5'11;181lbs;58;74;76;79
230168;30;82;€14M;€32K;6'3;187lbs;18;42;29;79
227055;23;82;€29.5M;€59K;5'8;159lbs;60;94;87;48
224411;21;82;€29M;€36K;5'10;150lbs;70;90;81;62
223959;22;82;€25M;€98K;5'6;141lbs;76;74;85;66
222737;21;82;€31.5M;€140K;5'8;163lbs;81;82;74;64
221087;23;82;€21.5M;€21K;6'2;170lbs;21;52;42;52
220814;22;82;€25.5M;€53K;6'0;168lbs;28;84;82;76
220440;23;82;€26M;€135K;6'1;179lbs;27;73;73;80
216354;27;82;€26M;€54K;5'10;161lbs;74;72;76;68
216267;24;82;€24.5M;€98K;5'10;141lbs;30;86;89;66
216194;28;82;€20M;€33K;5'11;176lbs;57;35;88;75
212404;24;82;€29.5M;€110K;6'1;170lbs;80;83;80;63
212194;22;82;€30.5M;€68K;6'1;185lbs;59;84;73;69
211320;23;82;€24.5M;€95K;6'3;185lbs;25;67;67;79
210617;23;82;€29M;€94K;6'0;148lbs;75;86;55;50
210514;24;82;€25.5M;€95K;6'0;163lbs;69;91;89;66
210413;23;82;€26.5M;€84K;6'2;172lbs;24;69;75;81
209989;25;82;€25.5M;€59K;6'1;170lbs;58;76;87;81
209297;25;82;€26.5M;€140K;5'7;141lbs;72;79;87;61
208830;31;82;€20M;€96K;5'10;163lbs;57;91;86;67
208596;24;82;€30M;€58K;5'11;159lbs;56;79;83;84
208448;26;82;€26M;€67K;5'10;163lbs;77;70;74;62
207494;25;82;€26.5M;€140K;5'9;137lbs;63;82;87;53
207471;29;82;€21.5M;€27K;6'1;181lbs;68;62;61;79
205678;28;82;€22.5M;€40K;5'8;139lbs;60;89;84;58
205452;25;82;€22.5M;€110K;6'3;187lbs;56;78;60;82
203551;27;82;€20.5M;€73K;5'8;148lbs;79;84;90;67
203263;25;82;€23.5M;€77K;6'4;220lbs;46;53;68;89
202371;26;82;€21M;€87K;6'3;198lbs;56;81;92;85
201956;27;82;€18.5M;€41K;6'5;187lbs;58;62;69;88
201455;25;82;€27.5M;€46K;6'2;176lbs;56;76;85;91
201400;25;82;€29.5M;€165K;5'9;157lbs;61;70;67;66
201305;27;82;€21M;€44K;6'2;174lbs;46;74;72;82
201153;25;82;€28.5M;€135K;6'2;187lbs;44;86;68;78
199987;29;82;€18M;€135K;6'1;183lbs;10;50;40;67
199451;27;82;€23.5M;€28K;5'7;150lbs;76;83;69;60
198951;27;82;€26M;€33K;6'0;161lbs;54;88;79;76
198950;26;82;€26M;€26K;5'9;154lbs;74;76;72;58
198717;25;82;€28.5M;€78K;5'11;146lbs;51;92;76;75
198706;25;82;€28.5M;€67K;6'0;163lbs;81;72;73;67
198164;28;82;€22.5M;€31K;5'7;141lbs;76;76;79;67
198141;27;82;€21M;€32K;6'0;161lbs;45;72;67;71
197655;27;82;€21M;€19K;6'5;203lbs;19;64;81;94
195093;26;82;€26.5M;€44K;6'2;205lbs;71;65;73;90
193525;27;82;€18.5M;€1K;6'2;176lbs;39;85;87;75
193469;29;82;€19.5M;€43K;6'1;172lbs;46;59;72;87
193283;26;82;€21.5M;€61K;6'0;174lbs;68;78;90;79
192984;26;82;€19.5M;€46K;6'6;190lbs;13;46;44;72
192318;26;82;€27M;€67K;5'9;165lbs;72;64;73;68
192227;26;82;€22.5M;€115K;6'0;181lbs;47;65;68;78
191180;29;82;€21.5M;€84K;6'2;172lbs;69;69;62;64
189505;30;82;€21M;€140K;5'7;143lbs;57;74;70;47
189125;28;82;€22M;€115K;5'11;165lbs;78;77;84;66
189117;27;82;€18.5M;€50K;6'2;187lbs;12;54;36;74
188803;30;82;€21M;€1K;5'8;141lbs;73;91;79;62
187936;29;82;€17M;€77K;6'5;165lbs;42;55;86;92
187754;30;82;€21M;€1K;5'9;152lbs;72;82;78;62
186561;27;82;€25M;€130K;6'0;168lbs;66;69;89;67
186345;27;82;€18.5M;€99K;5'10;159lbs;83;75;88;65
185103;32;82;€12.5M;€73K;6'2;183lbs;86;70;84;77
184484;28;82;€22.5M;€125K;6'1;181lbs;86;55;86;68
184431;31;82;€20M;€15K;5'4;134lbs;93;80;77;42
184200;29;82;€22M;€120K;6'4;183lbs;72;83;78;84
184144;30;82;€21M;€22K;5'8;146lbs;72;79;69;46
183711;28;82;€18M;€125K;6'0;176lbs;74;66;91;72
183574;30;82;€21.5M;€45K;5'11;168lbs;69;67;71;72
183498;33;82;€9M;€59K;6'0;165lbs;55;69;88;77
183376;29;82;€17M;€18K;6'0;176lbs;57;55;90;78
183280;32;82;€12.5M;€57K;6'3;198lbs;55;67;84;91
181786;32;82;€12.5M;€1K;6'4;185lbs;60;65;80;86
181291;27;82;€23M;€130K;5'9;152lbs;70;76;85;72
179847;31;82;€15M;€73K;6'5;187lbs;37;43;74;91
178509;31;82;€20M;€140K;6'4;203lbs;65;50;62;88
173521;31;82;€15M;€73K;6'2;170lbs;37;69;78;77
171897;31;82;€19M;€35K;5'7;148lbs;81;73;84;57
170481;31;82;€15M;€44K;6'2;198lbs;74;36;62;88
168530;32;82;€12.5M;€17K;6'4;192lbs;35;63;68;89
168435;31;82;€13.5M;€45K;6'4;176lbs;11;51;34;66
168354;32;82;€12.5M;€15K;6'5;198lbs;16;33;29;58
165229;32;82;€12.5M;€115K;6'1;165lbs;49;66;62;75
163489;31;82;€13.5M;€52K;6'2;181lbs;15;34;31;51
158963;32;82;€12.5M;€98K;5'10;139lbs;76;65;75;65
146530;35;82;€4.8M;€62K;5'8;150lbs;74;79;74;55
113422;36;82;€8M;€12K;5'9;152lbs;80;67;70;66
106231;37;82;€8M;€29K;6'0;172lbs;54;66;60;82
48940;36;82;€3M;€60K;6'5;198lbs;19;38;32;63
5479;37;82;€1.5M;€10K;6'1;185lbs;13;57;43;70
231677;20;81;€27M;€110K;6'1;154lbs;78;93;79;71
230271;30;81;€17M;€40K;5'7;139lbs;75;78;67;48
229906;20;81;€26.5M;€54K;5'10;174lbs;73;90;76;59
229237;22;81;€21M;€49K;6'2;187lbs;27;86;76;84
228702;21;81;€26M;€19K;5'11;154lbs;61;76;74;69
227928;24;81;€20M;€125K;5'10;148lbs;30;92;91;62
226456;22;81;€24M;€36K;5'10;148lbs;60;66;77;67
226271;22;81;€26M;€64K;6'2;154lbs;59;67;73;69
225508;24;81;€21M;€105K;6'1;170lbs;43;79;72;85
222509;21;81;€25M;€120K;5'10;154lbs;63;67;75;62
221992;22;81;€24M;€22K;5'9;154lbs;65;93;80;59
216475;30;81;€17M;€33K;5'11;154lbs;72;88;82;60
216451;26;81;€20.5M;€73K;5'7;161lbs;81;70;75;63
216409;24;81;€22.5M;€57K;5'7;148lbs;75;84;79;45
216352;25;81;€18.5M;€64K;5'11;150lbs;74;70;84;66
216201;24;81;€24.5M;€31K;6'1;174lbs;53;94;75;85
214997;23;81;€24.5M;€54K;5'7;150lbs;65;82;74;63
213661;22;81;€21.5M;€91K;6'2;179lbs;22;70;69;73
212814;25;81;€22.5M;€71K;5'10;161lbs;67;69;79;68
212151;23;81;€17M;€36K;6'4;172lbs;12;46;23;56
210864;24;81;€20M;€58K;6'0;154lbs;30;82;87;69
210406;24;81;€24.5M;€64K;5'11;165lbs;65;84;72;54
210243;24;81;€19M;€64K;5'9;154lbs;45;87;84;60
210035;22;81;€20.5M;€14K;5'7;152lbs;82;83;83;63
209889;24;81;€24M;€54K;5'7;157lbs;82;68;72;49
208135;25;81;€19.5M;€60K;6'0;168lbs;42;70;93;81
207877;25;81;€22.5M;€14K;5'7;152lbs;57;92;72;73
207664;31;81;€16M;€45K;5'11;170lbs;58;75;66;74
206467;25;81;€22M;€40K;5'11;174lbs;74;77;82;77
205923;25;81;€18.5M;€87K;6'0;168lbs;48;74;85;69
205362;25;81;€18.5M;€36K;6'2;183lbs;68;77;62;78
205175;24;81;€25.5M;€71K;6'1;172lbs;74;74;73;78
204923;24;81;€22.5M;€54K;5'10;170lbs;63;77;84;76
204884;23;81;€20M;€105K;6'1;187lbs;34;86;81;81
204024;27;81;€17M;€35K;6'3;168lbs;51;52;93;69
203890;26;81;€18M;€57K;5'11;168lbs;57;79;90;73
203486;25;81;€21.5M;€40K;5'9;152lbs;79;77;77;62
202857;28;81;€18M;€76K;6'0;179lbs;58;91;73;68
202685;27;81;€21M;€48K;6'1;185lbs;56;79;76;88
201454;27;81;€16.5M;€68K;6'0;176lbs;68;82;88;68
200726;27;81;€15M;€27K;6'1;172lbs;19;40;34;55
200647;30;81;€17M;€41K;6'3;174lbs;84;70;64;74
200610;25;81;€22M;€76K;5'10;187lbs;76;77;88;82
200454;24;81;€23.5M;€59K;5'9;159lbs;63;80;65;64
199715;28;81;€18M;€65K;6'1;174lbs;62;77;80;81
199503;25;81;€22M;€115K;6'1;181lbs;77;49;80;75
199434;29;81;€17.5M;€26K;5'11;168lbs;76;68;69;62
199042;29;81;€17M;€76K;5'7;154lbs;76;65;87;63
196889;25;81;€19.5M;€77K;5'7;134lbs;84;86;75;48
195086;28;81;€16M;€115K;6'2;185lbs;18;55;68;82
193532;30;81;€13M;€56K;5'7;143lbs;45;70;84;83
193348;26;81;€19M;€130K;5'7;159lbs;84;77;75;73
193165;25;81;€21.5M;€18K;5'8;137lbs;67;79;74;39
193105;25;81;€16.5M;€61K;6'5;207lbs;16;52;28;80
192641;26;81;€17.5M;€42K;6'4;187lbs;62;82;74;85
191740;28;81;€17.5M;€140K;6'0;154lbs;65;68;87;67
190972;27;81;€18.5M;€19K;5'8;170lbs;64;87;85;63
190813;25;81;€21M;€77K;5'10;159lbs;63;87;68;54
189881;28;81;€16M;€130K;6'4;179lbs;22;74;71;87
189362;31;81;€15.5M;€25K;5'11;187lbs;81;80;86;92
189358;29;81;€17.5M;€65K;5'9;150lbs;63;60;82;39
188988;25;81;€23M;€90K;5'6;130lbs;76;78;73;39
187491;28;81;€18.5M;€1K;6'2;176lbs;69;85;74;75
187072;29;81;€18M;€43K;5'11;176lbs;69;67;78;69
185239;28;81;€16M;€59K;6'1;183lbs;33;83;67;78
183900;29;81;€17.5M;€84K;5'10;154lbs;64;76;73;60
182494;32;81;€10M;€52K;6'3;163lbs;10;62;45;68
179784;30;81;€13M;€1K;6'2;170lbs;52;52;61;78
179645;29;81;€14M;€23K;6'2;185lbs;69;65;76;80
177458;29;81;€14M;€69K;6'1;176lbs;30;72;83;77
177326;33;81;€11M;€86K;5'6;139lbs;77;79;73;37
175379;31;81;€15.5M;€32K;6'0;161lbs;85;63;65;63
173909;31;81;€15M;€65K;6'1;190lbs;71;65;68;78
173771;33;81;€7M;€57K;6'0;174lbs;47;83;77;78
173221;31;81;€15.5M;€74K;5'11;154lbs;71;78;86;69
172522;29;81;€17M;€46K;5'11;163lbs;85;76;90;70
170368;26;81;€21M;€105K;6'0;176lbs;80;74;78;68
169595;27;81;€14.5M;€92K;5'9;168lbs;57;78;78;72
169416;29;81;€17.5M;€15K;5'10;170lbs;71;80;74;67
169195;30;81;€16.5M;€28K;6'1;190lbs;75;67;81;76
167905;32;81;€10M;€120K;5'11;183lbs;66;85;79;79
164835;33;81;€9M;€70K;6'3;183lbs;12;47;25;65
162347;31;81;€15M;€85K;5'7;134lbs;79;59;78;63
161956;33;81;€11M;€74K;5'9;161lbs;76;52;69;66
159261;35;81;€8M;€39K;5'11;174lbs;78;67;66;76
159145;32;81;€14M;€56K;6'0;170lbs;62;70;68;83
157960;32;81;€14M;€1K;5'9;165lbs;70;76;76;71
156519;28;81;€17.5M;€20K;6'0;159lbs;63;73;94;73
144622;33;81;€11M;€41K;5'9;152lbs;77;66;62;62
139068;31;81;€15.5M;€19K;5'10;150lbs;79;74;74;62
138412;32;81;€13.5M;€120K;5'9;154lbs;75;62;91;71
112316;34;81;€5.5M;€18K;6'2;185lbs;75;74;78;89
45186;36;81;€6M;€24K;5'10;165lbs;77;65;54;64
239207;21;80;€20.5M;€25K;6'1;185lbs;53;65;71;80
235790;19;80;€22M;€32K;6'2;183lbs;53;86;73;61
235569;21;80;€22.5M;€51K;5'11;168lbs;63;76;78;78
234906;20;80;€23.5M;€51K;5'9;154lbs;59;79;79;61
234153;21;80;€21M;€31K;5'11;168lbs;82;77;78;65
234035;22;80;€18.5M;€115K;5'9;146lbs;30;82;80;63
230977;24;80;€19.5M;€11K;5'9;139lbs;70;89;85;52
230347;30;80;€10.5M;€34K;5'10;152lbs;52;80;89;68
230234;34;80;€4.5M;€34K;5'10;165lbs;73;68;89;71
230142;21;80;€21M;€29K;5'11;172lbs;71;75;71;59
